objectid,name,problems,district,group_d,status_num,status_detail,detail,remark,สพน,สคน,กรบ,กรท,เขต,x,y
11,ถนนวัชรพล จากถนนเพิ่มสิน ถึงถนนเทพรักษ์,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,,,1.ก่อสร้างบ่อสูบน้ำถนนวัชรพล ตอนลงคลองท่าแร้ง #ของบ,,100.6422043,13.89019489
12,ถนนรามคำแหง ช่วงหน้ามหาวิทยาลัยรามคำแหง (ฝั่งขาเข้า),น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6163635,13.75805569
13,ถนนศรีนครินทร์ จากแยกลำสาลี ถึงถนนกรุงเทพกรีฑา,น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6456909,13.75769424
14,ถนนหัวหมาก (รามคำแหง 24),น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6196365,13.75300026
15,ถนนนวมินทร์ จากแยกบางกะปิ ถึงสถานีตำรวจนครบาลลาดพร้าว,น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,1.โครงการปรับปรุงสถานีสูบน้ำคลองยายเผื่อน #แล้วเสร็จ,,,,100.6477203,13.7677784
16,ถนนรามคำแหง จากซอยรามคำแหง 12 ถึงซอยรามคำแหง 24 (ขาเข้า),น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6121826,13.75383282
17,ถนนรามคำแหง จากซอยรามคำแหง 19 ถึงซอยรามคำแหง 39,น้ำฝน สนน.,บางกะปิ,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6126633,13.75463867
18,ถนนพระรามที่ 1 หน้าห้างมาบุญครอง - หน้าสนามกีฬาแห่งชาติ,น้ำฝน สนน.,ปทุมวัน,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,โครงการปรับปรุงเขื่อนคลองสวนหลวง จากถนนพระรามที่ 4 ถึงคลองแสนแสบ #ของบ,"1.ก่อสร้างระบบระบายน้ำถนนพระรามที่ 1 ช่วงซอยเกษมสันต์ 3 ถึงบ่อสูบน้ำช่างกลปทุมวัน #ก่อสร้าง,
2.ก่อสร้างท่อลอดระบายน้ำถนนพระรามที่ 4 ช่วงบริเวณซอยจุฬาลงกรณ์ 5 ถึง ซอยจุฬาลงกรณ์ 9 #ก่อสร้าง",,100.529808,13.74632454
19,ถนนพระรามที่ 1 ใต้สถานีรถไฟฟ้าสยาม,น้ำฝน สนน.,บางรัก,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,,,,,,1.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนพระรามที่ 1 ช่วงแยกปทุมวันถึงคลองอรชร (2 ฝั่ง) #ก่อสร้าง,,100.5341187,13.74564171
20,ถนนวชิรธรรมสาธิต จากถนนสุขุมวิท ถึงซอยวชิรธรรมสาธิต 34,น้ำฝน สนน.,พระโขนง,กรุงเทพใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,1.โครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนสู่แม่น้ำเจ้าพระยา#ก่อส้ราง,,,"1.ปรับปรุงระบบระบายน้ำถนนสุขุมวิท ช่วงซอยสุขุมวิท 101/1 ถึงซอยสุขุมวิท 107 #ของบ,",,100.6245117,13.68431568
21,ถนนวชิรธรรมสาธิต (สุขุมวิท 101/1) ช่วง 3 แยกตัดซอยวัดทุ่ง,น้ำฝน สนน.,พระโขนง,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,,,1.โครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนสู่แม่น้ำเจ้าพระยา#ก่อสร้าง,,,"1.ปรับปรุงระบบระบายน้ำถนนสุขุมวิท ช่วงซอยสุขุมวิท 101/1 ถึงซอยสุขุมวิท 107 #ของบ,",,100.6226196,13.68646622
22,ถนนสีหบุรานุกิจ บริเวณจุดกลับรถใต้สะพานข้ามคลองสามวา,น้ำฝน สนน.,มีนบุรี,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.729538,13.81256104
23,ถนนเจ้าคุณทหาร จากถนนฉลองกรุง ถึงคลองสาม,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,1.ปรับปรุงระบบระบายน้ำถนนเจ้าคุณทหารช่วงจากคลองสามถึงคลองพุทรา #แล้วเสร็จ,,100.7720261,13.75311089
24,ถนนฉลองกรุง จากซอยฉลองกรุง 8 ถึงทางมอเตอร์เวย์,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,1.ปรับปรุงระบบระบายน้ำถนนฉลองกรุงช่วงจากถนนมอเตอร์เวย์ถึงคลองลำชวดเตย #แล้วเสร็จ,,100.7885818,13.73672199
25,ถนนลาดกระบัง จากแยกกิ่งแก้ว ถึงซอยลาดกระบัง 26,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,4,แก้ไขแล้วเสร็จบางส่วน,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,"1.ปรับปรุงระบบระบายน้ำถนนลาดกระบังช่วงจากคลองบัวเกาะถึงคลองหนองปรือ #ก่อสร้าง,
2.ก่อสร้างระบบระบายน้ำถนนลาดกระบังบริเวณแยกกิ่งแก้ว ตอนลงคลองประเวศบุรีรมย์ #ก่อสร้าง",,100.7393646,13.72241688
26,ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงใต้สะพานมอเตอร์เวย์,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,1.ปรับปรุงระบบระบายน้ำถนนหลวงแพ่งช่วงจากคลองหัวตะเข้ถึงคลองกาหลง #ก่อสร้าง,,100.8149185,13.71269417
27,ถนนหลวงแพ่ง หน้าโลตัสลาดกระบัง,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,4,แก้ไขแล้วเสร็จบางส่วน,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,1.ปรับปรุงระบบระบายน้ำถนนหลวงแพ่งช่วงจากคลองหัวตะเข้ถึงคลองกาหลง #ก่อสร้าง,,100.7929993,13.72099972
28,ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงทางเข้ามอเตอร์เวย์สาย 7,น้ำฝน สนน.,ลาดกระบัง,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,1.โครงการก่อสร้างอุโมงค์ส่วนต่อขยายจากบึงหนองบอน ถึงคลองประเวศบุรีรมย์และคลองสี่ #ของบ,,,1.ปรับปรุงระบบระบายน้ำถนนหลวงแพ่งช่วงจากคลองหัวตะเข้ถึงคลองกาหลง #ก่อสร้าง,,100.8130798,13.7133894
29,ถนนสาธุประดิษฐ์จากถนนจันทน์ถึงถนนรัชดาภิเษก,น้ำฝน สนน.,ยานนาวา,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,,,,,,1.ก่อสร้างระบบระบายน้ำถนนสาธุประดิษฐ์ ช่วงจากแยกถนนจันทน์ ถึงคลองมะนาว #ของบ,,100.5306396,13.70096397
30,ถนนพหลโยธิน แยกสะพานควาย – ซอยอารีย์,น้ำฝน สนน.,พญาไท,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5449982,13.7808466
31,ถนนประดิพัทธ์ แยกสะพานควาย,น้ำฝน สนน.,พญาไท,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5482864,13.78978634
32,ถนนวิภาวดีรังสิต บริเวณหน้ากรมทหารราบที่ 1 มหาดเล็กรักษาพระองค์,น้ำฝน สนน.,พญาไท,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5535355,13.77432537
33,ถนนพระรามที่ 6 ช่วงลงทางด่วน,น้ำฝน สนน.,พญาไท,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,"1.โครงการก่อสร้างท่อขนส่งน้้าใต้ถนนพระรามที่ 6 จากคลองสามเสนลงสู่ อุโมงค์ใต้คลองบางซื่อ #ก่อสร้าง,
2.โครงการจ้างที่ปรึกษาควบคุมการก่อสร้างโครงการก่อสร้างท่อขนส่งน้้าใต้ ถนนพระรามที่ 6 จากคลองสามเสนลงสู่อุโมงค์ใต้คลองบางซื่อ #ก่อสร้าง",,,,,100.5348587,13.78473473
34,ถนนพหลโยธิน จากคลองสามเสน ถึงคลองบางซื่อ,น้ำฝน สนน.,พญาไท,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5450745,13.7811842
35,ถนนอินทรพิทักษ์ จุดกลับรถใต้สะพานเนาวจำเนียร,น้ำฝน สนน.,ธนบุรี,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,,,,1.โครงการก่อสร้างช่องประตูเรือสัญจรพร้อมปรับปรุงสถานีสูบน้ำคลองบางกอกใหญ่#ของบ,,,,100.4858932,13.72738457
36,ถนนเพชรเกษม จุดกลับรถใต้สะพานเนาวจำเนียร,น้ำฝน สนน.,บางกอกใหญ่,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,,,,1.โครงการก่อสร้างช่องประตูเรือสัญจรพร้อมปรับปรุงสถานีสูบน้ำคลองบางกอกใหญ่#ของบ,,,,100.4851532,13.72776031
37,ถนนเพชรบุรี จากแยกอโศก ถึงคลองบางกะปิ,น้ำฝน สนน.,ห้วยขวาง,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5662079,13.74865532
38,ถนนประชาอุทิศ ช่วงหน้าสำนักงานเขตห้วยขวาง,น้ำฝน สนน.,ห้วยขวาง,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,,,,"1.งานปรับปรุงบ่อสูบน้ำคลองชวดบางจาก #ก่อสร้าง,
2.โครงการก่อสร้างสถานีสูบน้ำคลองห้วยขวาง ตอนถนนเทียมร่วมมิตร #ของบ,
3.โครงการก่อสร้างสถานีสูบน้ำคลองชวดตาเชียง ตอนถนนเทียมร่วมมิตร #ของบ",,,,100.5797272,13.77672768
39,ถนนประชาราษฏร์บำเพ็ญ จากถนนรัชดาภิเษก ถึงสามแยกตัดถนนประชาอุทิศ,น้ำฝน สนน.,ห้วยขวาง,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,,,,"1.งานปรับปรุงบ่อสูบน้ำคลองชวดบางจาก #ก่อสร้าง,
2.โครงการก่อสร้างสถานีสูบน้ำคลองห้วยขวาง ตอนถนนเทียมร่วมมิตร #ของบ,
3.โครงการก่อสร้างสถานีสูบน้ำคลองชวดตาเชียง ตอนถนนเทียมร่วมมิตร #ของบ",,,,100.5773621,13.77842236
40,ถนนสุทธิสารวินิจฉัย ช่วงหน้าโรงพยาบาลโกลเด้นเยียส์ ,น้ำฝน สนน.,ห้วยขวาง,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,,,,,,,,100.5773926,13.78969193
41,ถนนลาดหญ้า ช่วงหน้า PLATFORM (โรบินสันเดิม),น้ำฝน สนน.,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,,,,,,,,100.494873,13.72678947
42,ถนนฉิมพลี จากอู่สง่า ถึงถนนบรมราชชนนี,น้ำฝน สนน.,ตลิ่งชัน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,,,,,,,,100.4357758,13.78472614
43,ถนนเลียบทางรถไฟสายใต้ฝั่งขาออก บริเวณวงเวียนชัยพฤกษ์,น้ำฝน สนน.,ตลิ่งชัน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,,,,100.4613953,13.78752422
44,ถนนอิสรภาพ จากหน้าตลาดพรานนก ถึงซอยอิสรภาพ 44,น้ำฝน สนน.,บางกอกน้อย,กรุงธนเหนือ,4,แก้ไขแล้วเสร็จบางส่วน,,,,1.โครงการก่อสร้างช่องประตูเรือสัญจรพร้อมปรับปรุงสถานีสูบน้ำคลองบางกอกใหญ่#ของบ,,,,100.4780884,13.75388336
45,ถนนบางขุนเทียน - ชายทะเล ช่วงจากถนนพระรามที่ 2 ถึงคลองกล้วย,น้ำฝน สนน.,บางขุนเทียน,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,,,,,,,,100.4304886,13.65416431
46,ถนนท่าข้าม ช่วงจากคลองกล้วยถึงซอยท่าข้าม 6/1,น้ำฝน สนน.,บางขุนเทียน,กรุงธนใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,1.ก่อสร้างบ่อพักพร้อมประตูปิดกั้นน้ำในพื้นที่ เขตสายไหม เขตบางเขน และเขตบางขุนเทียน #ก่อสร้าง,,100.4423599,13.65761089
47,ถนนบางกระดี่ ช่วงจากซอยบางกระดี่ 3 ถึง ตลาดกลางบางกระดี่,น้ำฝน สนน.,บางขุนเทียน,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,,,,,,"1.ก่อสร้างบ่อพักพร้อมประตูปิดกั้นน้ำในพื้นที่ เขตสายไหม เขตบางเขน และเขตบางขุนเทียน #ก่อสร้าง,
2.ก่อสร้างระบบระบายน้ำถนนบางกระดี่ บริเวณซอย 3 ถึงซอย 25 #ของบ",,100.4001694,13.62836075
48,ถนนบางขุนเทียน จากช่วงตัดรางรถไฟสายมหาชัย 2 ฝั่ง,น้ำฝน สนน.,บางขุนเทียน,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,,,,,,,,100.4283905,13.66617012
49,ถนนเพชรเกษม จาก BTS บางหว้า ถึงคลองโรงยาว,น้ำฝน สนน.,ภาษีเจริญ,กรุงธนใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.4547806,13.7189436
50,ถนนเพชรเกษม จากซอยเพชรเกษม 52 ถึงบ้านพักคนชรา บางแค,น้ำฝน สนน.,ภาษีเจริญ,กรุงธนใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.43367,13.71275043
51,ถนนเลียบคลองภาษีเจริญฝั่งเหนือ จากเลียบเหนือซอย 8 เลียบเหนือซอย 20,น้ำฝน สนน.,หนองแขม,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,,,,,1.โครงการก่อสร้างเขื่อน ค.ส.ล. และสถานีสูบน้ำคลองมหาศรจากบริเวณคลองบางไผ่ถึงบริเวณคลองภาษีเจริญ,,,100.361969,13.68707561
52,ถนนมาเจริญ (เพชรเกษม 81) จากหมู่บ้านพุฒตาล จากหมู่บ้านพฤกษาทาวน์,น้ำฝน สนน.,หนองแขม,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,,,,,,,,100.3429184,13.68741703
53,ถนนประชาสุข ช่วงซอยอินทามระ 45 – 53,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,"1.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง) #แล้วเสร็จ, 
2.งานปรับปรุงบ่อสูบน้ำถนนประชาสุข ตอนคลองขวางนาซอง #แล้วเสร็จ,
3.ก่อสร้างบ่อสูบน้ำซอยอินทามระ 45 ตอนลงคลองห้วยขวาง #ของบ",,100.5670776,13.78604889
54,ถนนประชาสงเคราะห์ ตลาดห้วยขวาง,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,งานปรับปรุงเขื่อนคลองห้วยขวาง จากถนนประชาสงเคราะห์ ถึงบริเวณคลองด่วน #ก่อสร้าง,1.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง) #แล้วเสร็จ,,100.5681381,13.77835941
55,ถนนประชาสงเคราะห์ ช่วงวงเวียนหอนาฬิกา,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,งานปรับปรุงเขื่อนคลองห้วยขวาง จากถนนประชาสงเคราะห์ ถึงบริเวณคลองด่วน #ก่อสร้าง,1.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง) #แล้วเสร็จ,,100.567894,13.7754879
56,ถนนรัชดาภิเษก แยกเทียมร่วมมิตร,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,,,,100.5726547,13.76958084
57,ถนนดินแดง หน้าโรงเรียนพิบูลประชาสรรค์,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,1.ปรับปรุงบ่อสูบน้ำจักรวาล ตอนลงคลองสามเสน #ของบ,,100.5503998,13.76279259
58,ถนนประชาสงเคราะห์ ช่วงหน้าตลาดดินแดง,น้ำฝน สนน.,ดินแดง,กรุงเทพกลาง,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,,1.ปรับปรุงบ่อสูบน้ำจักรวาล ตอนลงคลองสามเสน #ของบ,,100.5567627,13.76508045
59,ถนนนวมินทร์ จากซอยนวมินทร์ 40 ถึงซอยนวมินทร์ 36,น้ำฝน สนน.,บึงกุ่ม,กรุงเทพตะวันออก,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,,1.ก่อสร้างบ่อสูบน้ำถนนนวมินทร์ ตอนลงบึงลำพังพวย #ของบ,,100.6515808,13.79480553
60,ถนนนวมินทร์ จากซอยนวมินทร์ 97 ถึงซอยนวมินทร์ 111,น้ำฝน สนน.,บึงกุ่ม,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6473923,13.80416679
61,ถนนนวมินทร์ จากถนนประเสริฐมนูกิจ ถึงคลองดอนอีกา,น้ำฝน สนน.,บึงกุ่ม,กรุงเทพตะวันออก,3,อยู่ระหว่างดำเนินการแก้ไข,,,,,,1.ก่อสร้างบ่อสูบน้ำถนนนวมินทร์ ตอนลงคลองบางเตย #แล้วเสร็จ,,100.649971,13.80977821
62,ถนนนวมินทร์ ช่วงปากซอยนวมินทร์ 155,น้ำฝน สนน.,บึงกุ่ม,กรุงเทพตะวันออก,5,แก้ไขแล้วเสร็จ,,,,,,,,100.6582718,13.82913876
63,ถนนสวนพลู ช่วงจากถนนสาทรใต้ - ถนนนางลิ้นจี่,น้ำฝน สนน.,สาทร,กรุงเทพใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5339661,13.72284031
64,ถนนสาธุประดิษฐ์ แยกตัดถนนจันทน์,น้ำฝน สนน.,สาทร,กรุงเทพใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,1.ก่อสร้างระบบระบายน้ำถนนสาธุประดิษฐ์ ช่วงจากแยกถนนจันทน์ ถึงคลองมะนาว #ของบ,,100.5288467,13.70542336
65,ถนนจันทน์ ช่วงจากซอยบำเพ็ญกุศล - ที่ทำการไปรษณีย์ยานนาวา,น้ำฝน สนน.,สาทร,กรุงเทพใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5262604,13.7063961
66,ถนนประชาราษฎร์สาย 2 บริเวณแยกเตาปูน,น้ำฝน สนน.,บางซื่อ,กรุงเทพเหนือ,4,แก้ไขแล้วเสร็จบางส่วน,,,,,"โครงการก่อสร้างเขื่อน ค.ส.ล. คลองเปรมประชากร 
ช่วงจากถนนประชาราษฎร์ สาย 2 ถึงบริเวณโรงเรียนผะดุงศิษย์พิทยา
#ของบ",1.ก่อสร้างรางระบายน้ำถนนประชาราษฎร์สาย 2 บริเวณแยกเตาปูน #ของบ,,100.5309067,13.806427
67,ถนนประชาราษฎร์สาย 1 ช่วงแยกบางโพ,น้ำฝน สนน.,บางซื่อ,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,1.งานปรับปรุงสถานีสูบน้ำคลองบางซื่อ ระยะที่ 1 #ก่อสร้าง,,1.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาราษฎร์สาย 1 ช่วงคลองบางโพธิ์ถึงคลองครัวตาแก่น #แล้วเสร็จ,,100.5216064,13.80640221
